#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 02 09 23 56  2.2  1.6 11.8  1.6  9.9 NNW   N      SWELL  7.5 348
2024 02 09 23 26  2.4  1.8 11.8  1.7  9.9 NNW   N      SWELL  7.9 348
2024 02 09 22 56  2.3  1.7 11.8  1.6  9.1   N   N      SWELL  7.7 355
2024 02 09 22 26  2.3  1.6 12.5  1.7  9.9   N   N    AVERAGE  7.6 353
2024 02 09 21 56  2.2  1.4 10.5  1.7  9.9   N   N    AVERAGE  7.3 360
2024 02 09 21 26  2.2  1.4 12.5  1.7  9.9   N   N    AVERAGE  7.3 351
2024 02 09 20 56  2.2  1.3 12.5  1.8  9.9 NNW NNW    AVERAGE  7.2 348
2024 02 09 20 26  2.0  1.2 11.8  1.6  9.9 NNW   N    AVERAGE  6.9 344
2024 02 09 19 56  2.1  1.2 11.1  1.8  9.1 NNW NNW    AVERAGE  7.1 333
2024 02 09 19 26  2.1  1.3 11.1  1.7  7.7   N   N    AVERAGE  7.2 353
2024 02 09 18 56  2.1  1.1 11.1  1.8  9.9   N NNW    AVERAGE  7.1   2
2024 02 09 18 26  2.2  1.3 11.1  1.8  9.1 NNW   N    AVERAGE  7.1 346
2024 02 09 17 56  2.1  1.2 10.5  1.9  9.9   N   N    AVERAGE  7.0 360
2024 02 09 17 26  2.2  1.2 11.1  1.9  9.9   N   N    AVERAGE  7.2 350
2024 02 09 16 56  2.2  1.4 11.8  1.8  9.9 NNW   N    AVERAGE  7.3 347
2024 02 09 16 26  2.2  1.4 11.1  1.8  9.9   N   N    AVERAGE  7.5 354
2024 02 09 15 56  2.2  1.2 11.1  1.8  9.1   N NNW    AVERAGE  7.0 355
2024 02 09 15 26  2.4  1.5 11.8  1.9  9.9 NNW   N    AVERAGE  7.5 348
2024 02 09 14 56  2.2  1.3 11.8  1.9  9.9   N NNW    AVERAGE  7.2 355
2024 02 09 14 26  2.3  1.4 11.8  1.9  9.9   N NNW    AVERAGE  7.5 358
2024 02 09 13 56  2.2  1.3 11.8  1.9  9.9   N   N    AVERAGE  7.4 353
2024 02 09 13 26  2.2  1.3 11.1  1.9  8.3   N NNW    AVERAGE  7.1 350
2024 02 09 12 56  2.3  1.4 11.8  1.9  9.9   N NNW    AVERAGE  7.2 358
2024 02 09 12 26  2.4  1.6 11.8  1.9  9.9   N   N    AVERAGE  7.5 351
2024 02 09 11 56  2.3  1.4 10.5  1.9  9.9 NNW NNW    AVERAGE  7.0 348
2024 02 09 11 26  2.2  1.1 11.1  2.0  9.9   N   N    AVERAGE  6.6 351
2024 02 09 10 56  2.5  1.4 11.8  2.0  7.7   N NNW    AVERAGE  7.1 354
2024 02 09 10 26  2.4  1.3 12.5  2.0  9.1 NNW NNW    AVERAGE  7.0 346
2024 02 09 09 56  2.5  1.4 11.8  2.1  9.1   N NNW    AVERAGE  7.0 355
2024 02 09 09 26  2.5  1.3 10.5  2.2  8.3 NNW NNW    AVERAGE  6.7 347
2024 02 09 08 56  2.6  1.5 11.8  2.1  9.9   N NNW    AVERAGE  6.8 350
2024 02 09 08 26  2.7  1.7 11.8  2.1  9.9 NNW NNW    AVERAGE  7.2 347
2024 02 09 07 56  2.6  1.4 11.1  2.2  7.7   N NNW    AVERAGE  6.9 351
2024 02 09 07 26  2.7  1.5 11.8  2.3  9.9   N NNW    AVERAGE  6.9 351
2024 02 09 06 56  2.6  1.4 11.1  2.2  9.9 NNW   N    AVERAGE  6.8 346
2024 02 09 06 26  2.5  1.4 12.5  2.1  9.9 NNW NNW    AVERAGE  6.7 348
2024 02 09 05 56  2.5  1.5 11.8  1.9  8.3 NNW NNW    AVERAGE  6.7 347
2024 02 09 05 26  2.5  1.6 12.5  2.0  9.9 NNW NNW    AVERAGE  6.9 348
2024 02 09 04 56  2.3  1.4 11.8  1.8  9.9 NNW NNW    AVERAGE  6.9 346
2024 02 09 04 26  2.3  1.4 11.1  1.8  9.1 NNW NNW    AVERAGE  6.9 343
2024 02 09 03 56  2.3  1.4 11.8  1.9  8.3 NNW  NW    AVERAGE  6.7 343
2024 02 09 03 26  2.2  1.3 11.8  1.8  9.9 NNW NNW    AVERAGE  6.7 339
2024 02 09 02 56  2.1  1.2 11.8  1.7  9.9 NNW NNW    AVERAGE  6.5 334
2024 02 09 02 26  2.3  1.4 11.8  1.8  9.9 NNW  NW    AVERAGE  7.2 336
2024 02 09 01 56  2.1  1.2 11.8  1.7  9.9 NNW  NW    AVERAGE  6.8 333
2024 02 09 01 26  2.0  1.2 11.1  1.6  9.1 NNW  NW    AVERAGE  6.6 341
2024 02 09 00 56  2.1  1.5 11.8  1.6  9.1 NNW  NW    AVERAGE  7.4 348
2024 02 09 00 26  1.9  1.2 11.1  1.6  9.9 NNW NNW    AVERAGE  6.8 341
2024 02 08 23 56  1.9  1.1 10.5  1.5  9.1 NNW NNW    AVERAGE  6.8 340
2024 02 08 23 26  2.0  1.3 10.5  1.5  9.9 NNW NNW    AVERAGE  7.0 332
2024 02 08 22 56  2.0  1.2 11.8  1.6  9.9 NNW NNW    AVERAGE  7.0 347
2024 02 08 22 26  1.9  1.2 11.8  1.6  9.1   N NNW    AVERAGE  6.9 350
2024 02 08 21 56  1.9  1.1 10.5  1.6  9.9 NNW NNW    AVERAGE  6.9 343
2024 02 08 21 26  2.0  1.1 11.1  1.7  9.1 NNW NNW    AVERAGE  6.9 343
2024 02 08 20 56  2.1  1.2 11.1  1.7  9.1 NNW NNW    AVERAGE  7.2 346
2024 02 08 20 26  1.9  1.0 11.8  1.6  9.1 NNW NNW    AVERAGE  6.6 339
2024 02 08 19 56  2.0  1.0 11.8  1.8  8.3 NNW NNW    AVERAGE  6.5 348
2024 02 08 19 26  2.0  1.1 10.5  1.8  9.1 NNW NNW    AVERAGE  6.6 333
2024 02 08 18 56  2.0  1.1 11.1  1.7  9.9   N NNW    AVERAGE  6.5 350
2024 02 08 18 26  2.2  1.1 10.5  1.9  9.9 NNW NNW    AVERAGE  7.0 329
2024 02 08 17 56  2.3  1.2 11.1  2.0  9.9 NNW NNW    AVERAGE  7.2 341
2024 02 08 17 26  2.1  1.1 10.5  1.9  9.9 NNW  NW    AVERAGE  6.9 326
2024 02 08 16 56  2.1  1.1 10.5  1.9  9.9 NNW NNW    AVERAGE  7.0 337
2024 02 08 16 26  2.2  1.2 11.1  1.9  9.9 NNW  NW    AVERAGE  7.1 323
2024 02 08 15 56  2.1  1.1 10.5  1.9  9.9 NNW NNW    AVERAGE  7.5 333
2024 02 08 15 26  2.1  1.1 10.5  1.8  9.9 NNW NNW    AVERAGE  7.8 333
